Text,True Label,Predicted Label
"Excellent Black Friday deal. My 17 year old son was very excited to go to Black Friday, so after Thanksgiving dinner we walked down to Best Buy and were so surprised to find it busy, but organized and easy to see items and find great deals!",2,2
I purchased this tablet for my mother as a christmas present. She is not tech savy to say the least. Once she got it set up she has fallen in love with. I would highly recommend this tablet to anyone,2,2
"Great device for the price, got it in a reasonable amount of time.",2,2
Echo is a great product. Wish it had better understanding i find myself having to repeat often but other than that i love it great product,2,2
Right price my son loves it great for games and you tube,2,2
Bought 3 for kids... they stay charged through play all day (7-9 hrs) and have been dropped and slammed a few times already but still look perfect and work just like new,2,2
Always wanted something transportable bedsides my phone. This fits in my purse and is readily accessible for travel. Great product for internet accessibility.,2,2
Great for reading books.Screen easy to read with no glare.,2,2
I'm glad we purchased the TV. We have both and the streaming is better on the TV. Now to upgrade to 4K,2,2
"I bought this for my wife and she can't put it down. Ordering books at your fingertips, and it holds a charge for a very long time. You can use it anywhere, in any lighting.",2,2
"As one step in setting up our new home we wanted an easy formate for news, music and communication. Echo provides all of that and more.",2,2
This was a replacement for another kindle. They are very durable and do everything I need them to do.,2,2
Wow what doesn't this do. Enjoy listening and finding out what it can do.,2,2
my 8 year old son has a new found passion for reading now that he is using this kindle.,2,2
My wife loves it better than the samsung galaxy tab 2 that she origanally used.,2,2
"The colors and surfing is just great, size and connectively is great. Children love it. Makes reading anywhere a breeze.",2,2
Very easy to set up. Just plug in and ask her questions. Haven't used parental controls so can't say anything about that.,2,2
"I like the small size and auto adjustable lighted screen. With my old Kindle I needed to have external light to read, but this one comes with the build one.",2,2
I got the Amazon Fire 7Tablet for my daughter as a Christmas present and she loves it. It meets all her needs.,2,2
I bought this for my 10 year old grandson and it was easy for him to learn and became his favorite Christmas present.,2,2
Bought this for someone special. Has not been operated much yet.,2,2
Great starter Kindle for the kids. They enjoy the ability to surf.,2,2
For what it does it's great for me a good alternative,2,2
"My first ebook reader. Read some reviews, decided to go with this because of the backlight and adaptive light. Sometimes I have to adjust the light manually but no biggie, quick and easy on the eyes.",2,2
She's super awesome!! Definitely recommend! She helps me remember to do lists and she plays awesome music with Amazon prime,2,2
Has some good apps and performance is good for the specs.,2,2
I like this and the price is right enjoying it now,2,2
This is a great device for leisure entertainment. I really enjoy the games and applications that allow me to surf the web.,2,2
Perfect gift for the office co-workers or close friends,2,2
AFTER 3 YEARS WITH A SMALLER AMAZON FIRE THIS ITEM IS A GREAT RELACEMENT. VERY SLEEK DESIGN. OVERALL EASE TO UPDATE FROM ORIGINAL SOFTWARE WAS NICE . VERY HAPPY WITH PRODUCT,2,0
Much easier to use than the stick.i would recommend .,2,2
Love it! Alexa is Amazing! It is user friendly without touching the speaker.,2,2
The device is amazing the kids love it. It's very easy to use almost like a iPad.,2,2
"I love to read but books were beginning to take over my space! This little ""baby"" is so small and holds a lot of books. Not only that, I can upload a new book any time I want to without leaving my house!",2,2
"easy to use. nice sides and easy to read ,, also very easy to load",2,2
My kids really seem to like this. I really like the ability to set usage times which helps them learn to budget their time.,2,2
"good value for the money, love the kindle for reading",2,2
it works great. the resolution is excellent. the streaming is great. loving it so far. just a bit pricy,2,2
"This is just the right size and price for my kids. For just playing the games, watching netflix, or just cruising the net, this is a great value.",2,2
I LOVE HOW IT PAYS NO PAUSE MOVIES AND AUDIO LOUD I WOULD MOST DEFINITELY RECOMMEND THIS FOR A FRIEND,2,2
Easy to set. Easy to use. So glad I upgraded my Fire Stick to the Fire Tv box.,2,2
Love the speed and the quality of this product. Watch all my shows in great definition.,2,2
Had a great experience with my Best Buy rep! Great Job!,2,2
"I bought this as a gift, and we all tried it out. Setup was pretty easy - download the app, connect it to your wi-fi, and you're off and running from there. Some of the potentially useful things that we saw right off the bat were:* Reading your news headlines in the morning* It feels like a voice-oriented Google search* Getting answers to random questions* Kids are easily entertained by itPersonally, I don't see the need for it - but I can appreciate the convenience and novelty of it.",2,2
"I like how the Amazon Fire TV works consistently. With it being able to be hardwired into my existing network, it fires up and works seamlessly.",2,2
Great product at a great price. Gave out as Safety recognition gifts.,2,2
"My kids love it and use it for everything, including their homework. It is really a great companion.",2,2
Easy to use and great selection of books movies and games.,2,2
Love it. Got it for my grandson. Since i have amazon prime. He can watch alot of free movies and games,2,2
Amazing for reading kindle which was my main concern. The cameras are not that amazing & downloding is pretty quick the battery evens last long great quality for its price great gift idea,2,2
This amazon fire 7 tablet is good for web surfing.not so fast but its ok.,2,2
"When Amazon first released this, I couldn't rationalize spending the money to purchase something that could play music, answer questions, report traffic and weather, etc. I did a lot of research before looking into purchasing one because I wanted to start converting my home into a Smart Home. I purchased this along with the Philips Hue and so far, I haven't regretted the purchase. Using the Apps to control the lighting is great but when you can simply use voice commands, it makes it that much more convenient. I would recommend this or any of the other ""echo"" products if you're looking to convert to a Smart Home.",2,2
Love it I bought it for my mother and father she is easy for them to use and they are in there 70s,2,2
I really like this tablet. Its fast and responsive and just the right size.,2,2
I have been enjoying using my Amazon Echo. It is very satisfying.,2,2
"I already had two DOTS (one connected to my main stereo via the aux line), but I wanted a stand alone Alexa device for a large bathroom suite. No real complaints other than value. I think this should be more like a $129-139 device. The speaker quality is pretty good but I expected something closer to a high end stand alone bluetooth speaker for $179. Still, I don't regret the purchase and I would make it again. One other factor that didn't affect the way I am using it....unlike the DOTS...the ECHO cannot be used with earbuds because it does not have bluethooth sending capabilities.",2,0
Numerous charges of iPhone 6 at 20 degrees or less and still had 3 bars remaining,2,2
Got this for my kids. It does everything they want it to. Great price for what you get. Highly recomend for someone wanting a good tablet that won't break the bank.,2,2
it's very useful and comfortable! I like it so much.,2,2
great tablet.just needs a way to disable ads and stuff like that..if you play alot of games you should get the 16gb one.,2,2
So many apps to look at hard to put down when everythig can be reached at your figertips,2,2
"it would be nice to have full app library, but it does what you need",2,2
I would recommend this tablet to anyone that is interested in one. It is just as good as a Samsung one and half the price.,2,2
Bought this box and love it. Cut cable and use this with PlayStation Vue. I recommend this over Roku,2,2
More interaction is needed between other devices. Too hard to remember opening statements to get echo to respond.,2,2
This is a great product for keeping our 2 year old entertained . She no longer asks for our phones which is a big bonus !,2,2
"I received this as a gift after my original Kindle Fire started giving me trouble after 4 1/2 years and wouldn't hold a charge. This new Kindle Fire 8 is fantastic! The larger size makes it easier to read. The ""buttons"" are better than the old one. I like that is has more ""perks"", i.e. camera, that my old one didn't have. It's nice to be able to read, play games, browse the internet, or check email or take photos. The battery lasts for days! I definitely recommend this.",2,2
The Kindle Fire is a good tablet! It is easy to navigate!,2,2
Bought this as a gift for my 5 year old nephew. It is easy for him to use. Downloaded educational games for him to play. Great buy!,2,2
"good,like the larger size screen and able to increase font for easy reading",2,2
"This is my 2nd FireTV I now own, and love them both. Setup was a snap even without it preconfigured from Amazon.",2,2
"I use this hours a day. Whether it is for listening to spotify or turning on a wemo-device, the battery life, sound quality, and voice recognition is great.",2,2
"There are so many advantages to the Fire TV box. It has an Ethernet connection and a USB port. Add a wireless keyboard or flash drive. It's got 4K and it is fast. The fire stick is more reasonable priced but it's not as fast and doesn't have any USB or Ethernet connection. If you have a few bucks more, go for the Fire TV box.",2,2
Don't care for the ads on this. But for the price its good. Ads can be removed for 15 bucks through Amazon.,2,2
"The paper white does what it claims it will do.You can go for weeks on end w/ only a single charge and it still have juice. Reading and import documents such as per files are simple via ""drag-n-drop"" in the root folder (which you'll create), documents. I only which that the ability to read .doc .docx files were available rather than having to convert files to pdf format. The screen is gentle to the eyes to read, whether outside in the sun or a low light setting, backlight or not.",2,1
Bought this to replace my old kindl its a bit smaller also easyer to handle,2,2
Got for reading Amazon books. Works great. Would recommend.,2,2
"Never loved or hated one of these before but, it's great cause it works",2,2
All my friends and some family members have and I wantedto join in on the fun of Alexa! The speaker sounds great when playing music. Have linked my lights as well. Lovin my gal Alexa!,2,2
Amazon - Kindle Paperwhite - White works great my wife has had the this item for a year and is still going strong. Great way to read books.,2,2
Amazon - Fire Tv is ok. i was thinking it was going to be faster then the Amazon stick.,2,0
"Reading on my commute, or in a waiting room, is a pleasant way to pass time - and convenient",2,2
"Husband is a first time user, he is doing really well with it.. He has low vision problems and this made reading his favorite books a lot easier to read.",2,2
I really like it it's going to very nice sound to it but it's a little bit slower than my echo.for some reason but other than that I really like it,2,2
"I bought this after hearing the sound quality of the speakers at my friends house. I also wanted something voice activated in the kitchen to keep handsfree. The sound quality is good. The noise cancelling mics are great at moderate volume. Only downside is no battery operation (it must always be plugged in). Also, even though it has bluetooth and can be paired to a smartphone, you cannot use the echo to pass through phone calls (Only music). For IOT toys its fun for voice control (ex: nest, etc). The skills are mostly cheesy though. Fun toy that allows easy access to prime music, pandora, etc.",2,2
Not many apps. The first one was already returned...no power issue after 1week..I hope the second one is fine...,1,0
I bought this for my husband for Christmas since our daughter uses the other tablet all the time. He has barely put it down since he opened it!! He uses it mostly for reading and some internet browsing. Overall I am happy with the product and have had no issues so far.,2,2
Bought this product for grand child and he really likes it. Kept him busy on long trip.,2,2
"Just got this as a Christmas gift and it doesn't stand.. Nothing to secure it to make it stand.. You can get it to stand maybe to watch a video, but don't touch it. It will fall down easily. Certainly don't stand it and actually use your Fire HD6 with this cover.. You can't.. Falls right over. I feel really badly for the special person that bought me this. Waste of money. I had already bought my own cover, for a lot cheaper, that has more shock protection and that one won't stand on end, but at sits securely at a tilt which makes it more useful for me. The cheaper one I bought on Amazon also has a magnetic closer to the cover stays closed. This one does not. Not sure how to tell the person who bought me this that I don't like this one at all. I'll feel bad telling them, and they'll feel bad hearing it. Bad all around.",0,0
"I have the Fire Stick and it did not support 4K, so I purchased the Fire TV with my new 4K TV and this unit performs better than my Fire Stick. There is not much waiting between clicks and it supports 4K!",2,2
"Bought the original Kindle Fire, and was impressed with the latest updated version. Better software, camera, and more apps make this all the more worth the small price. I guess that Amazon takes a loss on the production of this unit to gain your interest in buying their merchandise and using their services. In any case, it works, and I would recommend this to anyone interested in an inexpensive internet access device.",2,2
I enjoy the convenience of the size and the ease of reading with this reader.,2,2
"I love having music playing constantly. I bought the echo for the dining room and the dot for my master bath! ! Love love love them. Also i haven't made a shopping list since I've had them and haven't forgotten random ""stuff"" i need.",2,2
"Got this on sale and it's very good, the interface is easy to use and super easy to set up",2,2
I got the Amazon - Fire - 7 - Tablet - 16GB - Blue for my 9 year old granddaughter. It is user friendly and she is able to navigate and use the tablet with ease. It is a great tool for her in school work since there are numerous apps. she is able to use for multiplication and division facts. A great product!,2,2
Bought these for my children they love the camera on them. The last one they had didn't have s camera,2,2
"The product is as advertised. I have good internet and it works great. Was able to ""cut the cord"" and save a good bit of money.",2,2
"I was so pleased with my Amazon TV Stick on my guest room TV, that I purchased the Amazon TV for my other TV. Awesome!! Awesome!! With those and the Google ChromeCast, I have the world of entertainment at my finger tips.",2,2
"Perfect gift for my dad, he loves to read. He is in love with Kindle.",2,2
I need more learning but I'm coming along.Sirii is better. Music is great on the echo.,2,2
This probably the most amazing electronic device I have in the home. Only thing that would make it better was if I could connect it to sound bar for a little better sound but this thing will answer almost anything. Well worth the money. Everyone should have at least one - we have 2 now and will buy more.,2,2
I recommend this speaker Easy to work great sound,1,2
"Friendly user systen, easy to setup, good size to put in a bag",2,2
Much better than it he earlier Kindles no more messing with lights,2,2
Item is a replacement for one that was starting to go back. It works fine.,2,2
"I previously had a standard Kindle...the battery would no longer hold the charge. I wanted to replace it but be able to read in dim light. This feature is great. I chose the paperwhite because the screen did not glare like the Fire. It took some getting used to since it is all touch screen, but it has a few better features than the original. One complaint is that it sometime jumps further ahead than one page, so you need to pay attention when moving to the next page. I recommend it for someone who wants to use it for reading only.",2,2
"We purchased this tablet for our son for Christmas, to replace a malfunctioning Kindle Fire 7. We like Kindle for our kids for the parental controls. So far, this Kindle has performed fine. He seems happy with it.",2,2
My daughter absolutely love her tablet and I love it to for her. It's very kids friendly,2,2
"Very cool product. Easy setup and very easy to use. Setup was fast, especially if you already have a Amazon account.",2,2
"I got this because I saw it on Amazon.com. I the. Went to BB just to see if they had it in stock. I fooled with the demo for about a minute and decided it was good enough to spend the $50 on. If I didn't want it I could give it to my mom or something. This thing has really impressed me. I have an iPad and an iPhone 6s. The kindle isn't near the performance of those guys but I was looking to step outside my ecosystem and just get a feel for something new. Besides, Amazon can do no wrong. Bottom line is that it's a greater starter tablet...something to have on the nightstand and let the company use.",2,0
"I bought this tablet for my children, I love it for its parental control settings as well as how fast it is. The volume is louder than many other tablets I have handled, which makes it great for watching videos or game play. I would definitely recommend this product and would purchase it again",2,2
"This is the best tablet in it's category at a price point which everyone can afford. Big thanks to Amazon for making this possible. The user experience is very good and there are enough number of apps to play around including the must haves like Facebook,Youtube ,Netflix etc.",2,2
This kindle is by far the best one I've had. I have zero complaints.,2,2
"It's was on sale on this color,put the play store and made it real Android tablet",2,2
I have a Paper White 1 and 2. Honestly it is difficult to justify double the price value. I certainly like most added features but not sure its worth the extra money. To note it operates great just not sure its worth an upgrade to the latest greatest.,1,2
Alexa will simplify your life. Give her a chance and you will be glad you did.,2,2
The kids love it and easy to understand. Great parental controls as well.,2,2
"The tablet is nice, it is good for the price, lot of apps available and easy to use",2,2
"Can't beat the price these are going for, gets the job done.",2,2
"Alexa works great, but the the sound quality of this speaker is terrible, your much better off with a echo dot and bose sound link mini set up.",1,2
My grandkids plays with this tablet all the time.lots of videos and games,2,2
This is a great device. Easy to install easy to use.,2,2
WHAT DID WE DO BEFORE ALL THIS TECHNOLOGY? I LOVE THE ECHO! THE SOUND AND FEATURES ARE AMAZING!,2,2
Great tablet for the money Would buy another Easy to use,2,2
I really wanted to buy this kindle paperwhite and I can't be happier. I would definitely recommend to anyone wanting for a e-book reader. Really nice product really love it!,2,2
"Alexia - I love you!! Controls the lights, saves my shopping list, timer, plays music plus so much more...",2,2
"We purchased the Amazon Echo as a family gift, it has had great reviews so far.",2,2
Sound production is outstanding!! Very easy to set up and use!,2,2
"This is so awesome, I can check my email when I'm not at home, if the place I'm visiting has WIFI. It also plays games! A true multi-tasker!",2,2
I had to buy this item due to the store no longer having the Firestick in the store. Set up was easy and dry easy to use.,2,2
Bought this as a Christmas gift. My daughter loves it. She specifically likes the screen lighting.,2,2
Good quality tablet. This tablet could be a bit more user friendly but once u get going by pushing a view apps you can find most of what your looking for.,2,2
Just got my kindle and am just getting use to it. Like it so far.,2,2
"What I expected. A better then budget tablet ata good price. Bought for the integration with Alexa and it works well, more info about your Alexa request will show up automatically on the tablet.",2,2
Bought this for my mom who is in her 70's. It's perfect and easy to use for the older generation.,2,2
"I had the paperwhite, but this voyage is definitely better. The quality is better, screen is seamless with the edge, which makes it feel premium and delivers more comfortable reading experience. Lighter than the paperwhite, love the pressure sensors to change pages. Overall better experience reading experience than the paperwhite.",2,2
Excellent product especially for price. Used by my younger daughter.,2,2
I love my Kindle Paperwhite. It was easy to set up and I have absolutely no complaints. I reviewed different e-readers and decided on the paperweight because I could read it outside with no issues. I have tested it in the bright sun light and had no problem with any glare. Even with the sun shining directly on it.,2,2
"What a GREAT PRICE!! This one is a lot different from the one I am replacing. I, personally, don't think it's as user friendly. But there's nothing that can be done about that. I only use it for books, nothing else.",2,2
"With Amazon Fire TV, you can access thousands of movies and TV shows instantly. Find favorites quickly or access weather and sports updates using the Alexa voice search...",2,2
I like the size of it and it's easy to operate. I didn't like that I had to keep trying to put the same information in more than once to more from one screen to another when putting in my card information. I need to have wifi to look at the stuff I downloaded and I don't like that. But for the cost it's ok.,1,2
It was very easy to download and read the books in the tablet,2,2
"I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",2,2
a birthday gift for my son and he likes it. always attached to his hand and always on it.,2,2
"Use to do everyday questions. What's the time,weather,addtoo shop list, check calendar and all kinds of little things without having to open computer lying in bed.",2,2
Works great. Is a good upgrade for those who have a regular kindle. Terrific for low light reading.,2,2
"Very good quality price ratio!We buy this table for a little kid for a very low price and it's one of best deal for a very long time....Again, very good for their low price.",2,2
"Great and clear looking screen, with a 3d effect. Easy set up. Loving it!!",2,2
"Unfortunately, Alexa is still complicated to get it to recognize smart devices.",1,2
"2nd one I've bought as a gift, can't go wrong! Will probably end up buying another!",2,2
I bought this wanting for books comics and movies and it has not disappoint ever since,2,2
Like all amazon stuff i have used these things are great built insanly well and eith a reasonable price tag way better then any of the rokus i have tried.,2,2
returning for a replacement. It got wet and quite working for a child's device it should be better made.,1,2
"The sound is good, worth a try. The minus thing is they need to improve the voice recognize",2,2
"Great Kindle, my wife had the originally one and this one is better in every way.",2,2
It's a really good gadget ...I love everything about it...,2,2
"This Fire TV is perfect for my intended use, I have cut the cable with the big cable companies and plan to use this for a long time.",2,2
"This is lots of fun, you can ask it what to wear, play you a song, your calendar, all while you're doing other things. So there is no wasted time, however I am not sure of the Privacy part of it. I think it is always listening and we will start to get marketed due to what we talked about at the dinner table",2,2
"The new Kindle Voyage is quite a step forward for the Kindle dedicated reader line. It is a beautiful device - almost like something from Apple. I like the lighted screen and the page forward and back ""buttons"" on the sides of the device. But it is rather pricey - not yet convinced it is worth the upcharge.",2,2
I bought the Echo for my 30 year old daughter. She loves it. Very useful and works great. Easy to use.,2,2
This was purchased an a reward for a job well done. Set up was easy and the functionality was perfect for my needs.,2,2
tablet was easy to set up and get started. 80 year old mother loves it!,2,2
If you have decided to buy a digital assistant this is the one to choose. Google home is good but not nearly as refined as Alexa. I have used both extensively and the Echo is the hands down winner.,2,2
"I needed something new for my bathroom, love to sing in the morning. Love to listen to the radio getting dressed, hear the morning news and traffic. Great for winding down in the evenin with some jazz in a bubble bath.",2,2
"I paid $35 for this unit right before Christmas. I have had an iPad mini2 for 3 years and this is not as user friendly, but for $35 now when traveling I have a 2nd streaming device. Perfect for kids/streaming.",2,2
"The general use for this tablet is only worth for Amazon users mostly so unless your buy and use Amazon products, I don't recommend this to anyone else. The tablet is not excellent compared to others but it is fairly good for an affordable price.",2,1
"Easy to hold, access to some free games - just be careful if you have 1-click payment option. My 3 year old charged $16 to my account in 3 days. Good news - I received emails about the purchases and was able to get help in stopping the process from happening too often. She loves the ""FIRE""",2,2
"So I love my electronics. I have an Ipad but when I saw this on sale I got myself one just to have since I am a prime member I figured I could use this too. The only thing I like about this is that you an expand the the storage. If the Ipad had that option it would be amazing. So since I then expanded the memory I can have more movies to watch offline. Camera is horrible, So I would say if you have a younger child, this may be decent but nothing compares to an ipad.",1,2
It was given to my friend as a gift. I hope he likes it.,1,2
very easy to use and the battery life is execellent,2,2
Great gift for the family and friends. I have purchased several.,2,2
My wife loves the tablet.it is light weight !!!!!!,2,2
It's voice activated capability is nice but not that responsive when the volume is full. You have to keep your voice loud so it can hear you.What is also nice is how it learns and can have multiple profile for family.,2,2
A great streaming device that I use on a daily basis.,2,2
"Bought two for my grandkids, a 10 year old boy. He does a lot of AR reading on this kindle fire tablet for school. As well as play games. He loves it and his parents are pleased with his eagerness to read.",2,2
My friend loves it. It's what he needs for his holiday.,2,2
Great and fun to use. I like the music link up and news,2,2
"This watch is not only very useful, it's very cute and comfortable. I love the fitness aspects-it motivates me to be more active. I also enjoy the ""smartwatch"" abilities. I can read my text messages without anyone knowing it! Also, the battery last a few days at the very least.",2,2
"I like this product, still getting to learn how to use it.",2,2
Love the firestick. You don't need cable tv anymore.,2,2
"I love this device, I can just tell it what to do without having to push buttons on my phone.",2,2
I was told by my wife to buy these as a gift for the kids.,2,2
Great tablet for a beginner to catch up on reading.,1,2
My grandson used my old I Phone to play on. Got him this tablet and he loves it! Great deal!,2,2
"I already have one of these that I had bought for Christmas. I bought this one for my grandmother because she loves to read just as much, if not more, than I do! She LOVES it! And the user interface is super easy to use so she has no trouble at all working it! She tells me all the time its the best gift she has ever gotten! If you are thinking about buying one DO IT! Its worth every penny and more!",2,2
It works just fine.,2,2
My child loved it!!! She was able to play her games!,2,2
The Echo is a cool little device. Great for playing music from Pandora or Amazon. A fun way to access the internet. Finding more uses for it daily! Would make a great gift.,2,2
This is a great product for someone who wants to switch from paper back books to electronic media. Great to read while outside or on the beach,2,2
"Great price for a good product. So far so good and no issues. Wish they had more apps, but great nonetheless. Great for gifts for family members.",2,2
"Very nice tablet for the price.. only problem, it sort of ""ties"" you up to be an amazon subscriber for a fee, so beware of this :)",2,2
Very good quality,2,2
product is very intuitive and easy to use. works well with the phillips light system,2,2
"very easy to set-up. a big hit a parties, excellent speaker.",2,2
"At first, the fire box was great. After two months the remote stopped working. I'd say save some money and just get the fire sticks. I have two of them and no problem. The fire tv box has been nothing but issues.",0,2
My Son Loves His Tablet That Santa Got Him For Christmas,2,2
This Fire TV meets all requirements. I haven't turn on the Apple TV since I purchased this device.,2,2
A high quality and affordable new toy that anyone should have. Loved it!,2,2
"Can't wait to pair with smart items, a little large but ok",2,2
The ECHO is really easy to set and use. I am surprised at the quality of sound.,2,2
I was needing an additional streaming device for Spotify. This handles exactly what I need.,2,2
You can't beat a color HD tablet for $50. Go buy one now!,2,2
"Aside from being about the only eink readers still available, the Amazon Kindle series of readers offer bang for the buck, and features that you don't know you need. The Paperwhite reader is great in sunlight, in a lit room, or even in a darkened room. The available Kindle books offer a tremendous variety of genres and titles for a low cost. And with shareware converters like calibre, classics available through public domain are all there to be read. If you love books, then this is for you.",2,2
"I liked Amazon Fire TV, it's powerful and the result is amazing.",2,2
I like it so much as it comes with Alexa with new OS. You can download all the cool apps that u need. Worth the money we spend.,2,2
My kid is so happy. its was surprise gift for him. thanks best buy,2,2
Good reads with my new paperwhite kindle. made my reading experience great.,2,2
Great product kindle fire got one for mom and dad for Christmas presents nice to add storage,2,2
Bought for my 6 year old. I recommend using a third party case. The kindle one is great for impacts but it pops out with a simple twist.,2,2
My daughter loves her PaperWhite. I like that it has nothing on it except books so that she can take it to school to read.,2,2
My son is very happy for this tablet that I gave him for Christmas,2,2
Nice and light. Does not have as good of battery as advertised but still very nice.,2,2
"Bought this as a gift for a family member to replace an older tablet, works great.",2,2
Not Kid friendly at all. Purchased for little nephew. Wasn't given any info on it for sales person either. Took back!!!,0,2
It is a very good product and the attention of employees was very good,2,2
Bought this tablet for my grandmother and rooted it to remove all the amazon ware on it. She isn't technologically savvy but has loved playing with this tablet and is becoming a youtube expert. Can't go wrong for the price.,2,2
Don't over pay for things you don't need or want. Great value for a reader ! Just we were looking for and works good.,2,2
"Use for facebook, games, booksDoes a great job - easy to use",2,2
"No complaints. Excellent for relaxing to read, enjoy a movie, or play games through the plethora of apps.",2,2
I bought this for my 25 year old son for Christmas. He loves it!,2,2
It was simply to set up and easy to use. Plug in sign in and bam,2,2
Cheap reliable tablet easy to figure out. perfect for child or older person to understand.,2,2
The echo is a great item. It's like having a personal secretary!,2,2
"this is a great item-- great speaker, can sync it up to your lights, etc",2,2
Bought this tablet for my kids and they love it. The Fire allows them access and freedom to a tablet without the high cost.,2,2
"big screen,2 year old granddaughter watches Sesame Street and scrolls through selections....",2,2
Alexa is cool and works great. Speaker sounds good and has great options.,2,2
I got this for $39.99 and it is a great tablet for the price. Check online for directions on how to add the Google Play store for even more app options.,2,2
I bought this as a replacement for my Amazon - Kindle Paperwhite High Resolution the few minor things that were different were added plus but nothing to really stand alone I noticed it was crisper and the light was much better then the previous one.,2,2
I bought this for my niece and she seems to love it. Great for netflix and playing games. Of course you can also read books just like all kindles.,2,2
Very easy to set up and use.Good little box. Great picture quality.,2,2
This tablet fulfills my needs at a great price! Love it!,2,2
"Compact and very good for the price, good picture and sound quality",2,2
"My old one was lifeless and so I replaced it with this. So glad I did, worth every penny!",2,2
"When you consider the price paid for the Amazon Fire 7 tablet, it is much more economical than a IPAD or a Samsung tablet.. I use it to check mail, Facebook, Twitter and other social media sites! Plus it is the perfect interface for all of the Amazon apps!",2,2
